,Equipo,T20,T21,Pts,PJ,Prom
0,Boca Juniors,51,22,73,37,1.972
1,Velez,39,31,70,37,1.891
2,River Plate,47,18,65,35,1.857
3,San Lorenzo,39,21,60,36,1.666
4,Racing Club,42,18,60,36,1.666
5,Argentinos,42,16,58,36,1.611
6,Talleres (C),37,20,57,36,1.583
7,Rosario Central,36,18,54,36,1.5
8,Estudiantes (LP),30,22,52,36,1.444
9,Lanus,36,16,52,36,1.444
10,Def y Justicia,39,12,51,37,1.378
11,Independiente,32,17,49,36,1.361
12,Newells,38,10,48,36,1.333
13,Atl Tucuman,29,18,47,36,1.305
14,Arsenal,35,11,46,36,1.277
15,Union,28,18,46,36,1.277
16,Banfield,27,20,47,37,1.27
17,Colon,21,24,45,36,1.25
18,Central Cba (SdE),26,16,42,36,1.166
19,Gimnasia (LP),24,15,39,37,1.054
20,Huracan,22,13,35,36,0.972
21,Patronato,23,12,35,37,0.945
22,Aldosivi,22,11,33,36,0.916
23,Sarmiento (J),0,11,11,12,0.916
24,Platense,0,11,11,12,0.916
25,Godoy Cruz,18,15,33,37,0.891
